iter	Passed	Remaining
428	1513	2014
429	1515	2009
430	1518	2004
431	1520	1999
432	1523	1994
433	1525	1988
434	1526	1983
435	1528	1977
436	1531	1972
437	1533	1967
438	1536	1962
439	1538	1958
440	1540	1952
441	1542	1947
442	1544	1942
443	1546	1936
444	1548	1931
445	1552	1928
446	1554	1923
447	1556	1917
448	1558	1912
449	1560	1906
450	1562	1902
451	1565	1898
452	1567	1893
453	1569	1887
454	1571	1882
455	1573	1877
456	1575	1871
457	1577	1866
458	1580	1862
459	1582	1857
460	1584	1852
461	1586	1847
462	1588	1841
463	1589	1836
464	1592	1831
465	1594	1827
466	1597	1822
467	1598	1817
468	1600	1812
469	1602	1807
470	1604	1801
471	1606	1797
472	1609	1793
473	1611	1788
474	1613	1783
475	1616	1779
476	1617	1773
477	1619	1768
478	1621	1764
479	1625	1760
480	1627	1756
481	1629	1751
482	1631	1746
483	1634	1742
484	1636	1737
485	1638	1733
486	1642	1729
487	1644	1725
488	1646	1720
489	1648	1715
490	1650	1711
491	1653	1707
492	1656	1703
493	1658	1698
494	1660	1693
495	1662	1688
496	1663	1683
497	1665	1679
498	1667	1674
499	1671	1671
500	1673	1666
501	1675	1662
502	1677	1657
503	1678	1652
504	1681	1647
505	1687	1647
506	1690	1643
507	1692	1639
508	1694	1634
509	1697	1630
510	1700	1627
511	1703	1623
512	1705	1618
513	1706	1613
514	1708	1609
515	1710	1604
516	1713	1600
517	1718	1598
518	1720	1594
519	1723	1590
520	1726	1587
521	1730	1584
522	1734	1581
523	1735	1576
524	1737	1572
525	1739	1567
526	1741	1563
527	1743	1558
528	1746	1554
529	1748	1550
530	1750	1545
531	1751	1541
532	1753	1536
533	1755	1531
534	1757	1527
535	1759	1523
536	1762	1519
537	1764	1515
538	1766	1510
539	1767	1506
540	1769	1501
541	1771	1497
542	1773	1492
543	1776	1489
544	1778	1484
545	1780	1480
546	1782	1475
547	1783	1471
548	1785	1467
549	1788	1462
550	1790	1459
551	1792	1455
552	1794	1450
553	1796	1446
554	1798	1441
555	1800	1437
556	1802	1433
557	1804	1429
558	1807	1425
559	1809	1421
560	1811	1417
561	1813	1413
562	1815	1409
563	1817	1405
564	1820	1401
565	1822	1397
566	1824	1393
567	1826	1389
568	1828	1384
569	1830	1380
570	1832	1376
571	1834	1372
572	1837	1369
573	1839	1364
574	1840	1360
575	1842	1356
576	1844	1352
577	1846	1348
578	1849	1344
579	1852	1341
580	1854	1337
581	1855	1332
582	1857	1328
583	1859	1324
584	1861	1320
585	1863	1316
586	1866	1313
587	1868	1308
588	1869	1304
589	1871	1300
590	1873	1296
591	1875	1292
592	1877	1288
593	1879	1284
594	1881	1280
595	1883	1276
596	1885	1272
597	1887	1268
598	1889	1264
599	1891	1261
600	1893	1257
601	1896	1253
602	1898	1249
603	1900	1246
604	1902	1242
605	1904	1238
606	1906	1234
607	1908	1230
608	1911	1227
609	1936	1238
610	1946	1239
611	1952	1237
612	1956	1235
613	1962	1233
614	1990	1245
615	1994	1243
616	2007	1246
617	2010	1242
618	2012	1238
619	2014	1234
620	2017	1231
621	2025	1231
622	2031	1229
623	2034	1225
624	2041	1225
625	2044	1221
626	2047	1217
627	2049	1214
628	2054	1211
629	2130	1251
630	2143	1253
631	2154	1254
632	2158	1251
633	2168	1251
634	2171	1247
635	2173	1244
636	2183	1244
637	2185	1240
638	2188	1236
639	2190	1232
640	2192	1228
641	2198	1226
642	2202	1222
643	2204	1218
644	2207	1214
645	2209	1210
646	2213	1207
647	2215	1203
648	2217	1199
649	2220	1195
650	2222	1191
651	2224	1187
652	2229	1184
653	2231	1180
654	2234	1176
655	2236	1172
656	2238	1168
657	2240	1164
658	2244	1161
659	2246	1157
660	2249	1153
661	2252	1150
662	2255	1146
663	2260	1143
664	2263	1140
665	2265	1136
666	2268	1132
667	2274	1130
668	2276	1126
669	2279	1122
670	2281	1118
671	2283	1114
672	2286	1110
673	2290	1107
674	2292	1103
675	2294	1099
676	2301	1097
677	2309	1096
678	2313	1093
679	2320	1091
680	2324	1088
681	2326	1084
682	2336	1084
683	2345	1083
684	2356	1083
685	2359	1079
686	2361	1075
687	2367	1073
688	2370	1069
689	2372	1065
690	2374	1061
691	2380	1059
692	2382	1055
693	2385	1051
694	2387	1047
695	2391	1044
696	2395	1041
697	2397	1037
698	2400	1033
699	2402	1029
700	2404	1025
701	2406	1021
702	2411	1018
703	2413	1014
704	2415	1010
705	2417	1006
706	2419	1002
707	2421	998
708	2425	995
709	2427	991
710	2429	987
711	2431	983
712	2432	979
713	2434	975
714	2436	971
715	2439	967
716	2442	963
717	2444	960
718	2446	956
719	2448	952
720	2451	948
721	2453	944
722	2456	941
723	2458	937
724	2459	933
725	2462	929
726	2464	925
727	2466	921
728	2467	917
729	2471	914
730	2473	910
731	2475	906
732	2477	902
733	2478	898
734	2480	894
735	2482	890
736	2484	886
737	2486	882
738	2488	878
739	2490	875
740	2492	871
741	2494	867
742	2496	863
743	2498	859
744	2504	857
745	2507	853
746	2509	850
747	2512	846
748	2514	842
749	2517	839
750	2519	835
751	2521	831
752	2523	827
753	2525	823
754	2526	819
755	2529	816
756	2532	812
757	2535	809
758	2537	805
759	2539	801
760	2540	797
761	2542	794
762	2545	790
763	2547	787
764	2549	783
765	2551	779
766	2553	775
767	2555	771
768	2557	768
769	2560	764
770	2562	761
771	2564	757
772	2566	753
773	2568	749
774	2569	746
775	2571	742
776	2573	738
777	2576	735
778	2578	731
779	2580	727
780	2582	724
781	2584	720
782	2585	716
783	2588	713
784	2592	710
785	2594	706
786	2596	702
787	2597	698
788	2599	695
789	2601	691
790	2604	688
791	2608	685
792	2610	681
793	2614	678
794	2616	674
795	2621	671
796	2624	668
797	2626	664
798	2629	661
799	2631	657
800	2633	654
801	2638	651
802	2639	647
803	2641	643
804	2643	640
805	2645	636
806	2647	633
807	2651	630
808	2653	626
809	2655	622
810	2657	619
811	2659	615
812	2661	612
813	2663	608
814	2665	605
815	2667	601
816	2670	598
817	2672	594
818	2674	590
819	2675	587
820	2677	583
821	2679	580
822	2683	577
823	2684	573
824	2686	569
825	2688	566
826	2690	562
827	2692	559
828	2694	555
829	2697	552
830	2700	549
831	2701	545
832	2703	542
833	2705	538
834	2707	535
835	2709	531
836	2712	528
837	2714	524
838	2716	521
839	2719	517
840	2721	514
841	2723	510
842	2726	507
843	2729	504
844	2731	500
845	2733	497
846	2734	494
847	2736	490
848	2738	487
849	2741	483
850	2743	480
851	2745	476
852	2747	473
853	2749	470
854	2751	466
855	2753	463
856	2758	460
857	2760	456
858	2762	453
859	2764	449
860	2766	446
861	2767	443
862	2769	439
863	2772	436
864	2774	433
865	2776	429
866	2778	426
867	2780	422
868	2782	419
869	2785	416
870	2788	412
871	2790	409
872	2791	406
873	2793	402
874	2795	399
875	2797	396
876	2801	392
877	2803	389
878	2805	386
879	2807	382
880	2809	379
881	2811	376
882	2812	372
883	2815	369
884	2818	366
885	2820	362
886	2822	359
887	2824	356
888	2826	352
889	2828	349
890	2830	346
891	2833	343
892	2835	339
893	2836	336
894	2838	333
895	2840	329
896	2842	326
897	2844	323
898	2847	319
899	2849	316
900	2850	313
901	2852	309
902	2854	306
903	2859	303
904	2863	300
905	2865	297
906	2867	294
907	2869	290
908	2871	287
909	2873	284
910	2877	281
911	2879	277
912	2881	274
913	2883	271
914	2884	267
915	2887	264
916	2892	261
917	2894	258
918	2896	255
919	2898	252
920	2901	248
921	2903	245
922	2907	242
923	2909	239
924	2911	236
925	2913	232
926	2915	229
927	2917	226
928	2919	223
929	2922	219
930	2924	216
931	2926	213
932	2928	210
933	2930	207
934	2932	203
935	2934	200
936	2937	197
937	2939	194
938	2941	191
939	2942	187
940	2944	184
941	2946	181
942	2948	178
943	2951	175
944	2952	171
945	2955	168
946	2957	165
947	2959	162
948	2960	159
949	2962	155
950	2965	152
951	2967	149
952	2969	146
953	2971	143
954	2973	140
955	2975	136
956	2976	133
957	2982	130
958	2985	127
959	2987	124
960	2989	121
961	2991	118
962	2993	115
963	2997	111
964	2999	108
965	3001	105
966	3003	102
967	3005	99
968	3007	96
969	3010	93
970	3012	89
971	3014	86
972	3016	83
973	3018	80
974	3020	77
975	3022	74
976	3024	71
977	3027	68
978	3029	64
979	3030	61
980	3033	58
981	3035	55
982	3037	52
983	3040	49
984	3042	46
985	3044	43
986	3048	40
987	3051	37
988	3053	33
989	3058	30
990	3060	27
991	3062	24
992	3064	21
993	3066	18
994	3068	15
995	3071	12
996	3073	9
997	3075	6
998	3077	3
999	3079	0
